ciudad,fecha,ta_max,ta_min,tm_mes,(,tm_mes,ta_min,ta_max
Barcelona,2012-1,12.4(19),-5.4(10),3.7,,3.7,-5.4,12.4
Barcelona,2012-2,17.7(29),-10.0(11),1.3,,1.3,-10.0,17.7
Barcelona,2012-3,22.6(15),-4.5(06),7.2,,7.2,-4.5,22.6
Barcelona,2012-4,18.3(02),-2.4(08),6.6,,6.6,-2.4,18.3
Barcelona,2012-5,29.5(25),2.3(01),13.5,,13.5,2.3,29.5
Barcelona,2012-6,34.6(27),5.2(09),18.0,,18.0,5.2,34.6
Barcelona,2012-7,34.0(18),6.0(02),18.7,,18.7,6.0,34.0
Barcelona,2012-8,37.2(10),7.8(31),20.8,,20.8,7.8,37.2
Barcelona,2012-9,31.7(15),4.0(02),16.1,,16.1,4.0,31.7
Barcelona,2012-10,27.6(08),-3.3(29),11.2,,11.2,-3.3,27.6
Barcelona,2012-11,17.5(15),-3.5(22),6.4,,6.4,-3.5,17.5
Barcelona,2012-12,13.8(24),-3.4(06),4.7,,4.7,-3.4,13.8
Barcelona,2012-13,37.2(10/ago),-10.0(11/feb),10.7,,10.7,-10.0,37.2
Barcelona,2013-1,14.0(05),-3.7(07),4.1,,4.1,-3.7,14.0
Barcelona,2013-2,12.2(20),-4.8(24),2.9,,2.9,-4.8,12.2
Barcelona,2013-3,15.7(07),-3.4(13),6.4,,6.4,-3.4,15.7
Barcelona,2013-4,24.0(17),-3.5(21),7.8,,7.8,-3.5,24.0
Barcelona,2013-5,22.5(14),-0.8(04),8.8,,8.8,-0.8,22.5
Barcelona,2013-6,30.4(16),4.0(04),13.7,,13.7,4.0,30.4
Barcelona,2013-7,33.8(31),9.2(31),20.8,,20.8,9.2,33.8
Barcelona,2013-8,34.2(21),6.8(21),19.1,,19.1,6.8,34.2
Barcelona,2013-9,29.4(03),4.8(12),16.4,,16.4,4.8,29.4
Barcelona,2013-10,23.3(18),-2.0(31),12.7,,12.7,-2.0,23.3
Barcelona,2013-11,19.5(05),-4.0(28),6.1,,6.1,-4.0,19.5
Barcelona,2013-12,13.6(16),-8.2(10),3.2,,3.2,-8.2,13.6
Barcelona,2013-13,34.2(21/ago),-8.2(10/dic),10.2,,10.2,-8.2,34.2
Barcelona,2014-1,15.8(10),-2.8(30),5.2,,5.2,-2.8,15.8
Barcelona,2014-2,14.7(06),-2.7(02),4.4,,4.4,-2.7,14.7
Barcelona,2014-3,21.3(17),-2.6(24),7.0,,7.0,-2.6,21.3
Barcelona,2014-4,23.7(18),1.6(18),11.4,,11.4,1.6,23.7
Barcelona,2014-5,25.4(10),0.9(04),11.6,,11.6,0.9,25.4
Barcelona,2014-6,29.8(12),4.0(05),16.3,,16.3,4.0,29.8
Barcelona,2014-7,34.6(16),5.8(10),18.1,,18.1,5.8,34.6
Barcelona,2014-8,31.4(25),4.3(17),19.1,,19.1,4.3,31.4
Barcelona,2014-9,32.0(02),4.3(27),17.7,,17.7,4.3,32.0
Barcelona,2014-10,26.4(20),1.1(23),14.7,,14.7,1.1,26.4
Barcelona,2014-11,20.0(01),-0.7(10),8.0,,8.0,-0.7,20.0
Barcelona,2014-12,11.5(22),-7.1(30),3.6,,3.6,-7.1,11.5
Barcelona,2014-13,34.6(16/jul),-7.1(30/dic),11.4,,11.4,-7.1,34.6
Barcelona,2015-1,12.0(02),-9.0(24),2.2,,2.2,-9.0,12.0
Barcelona,2015-2,12.2(28),-9.3(10),2.1,,2.1,-9.3,12.2
